{} - {} now have {} as they had no outstanding amount left before submitting the Payment Entry.<br><br>\ If this is undesirable please cancel the corresponding Payment Entry.,{} -{}现在有{}，因为在提交付款条目之前没有未支付的金额。如果不希望这样做，请取消相应的付款项。,
Cannot allocate more than {0} against payment term {1},不能在付款期限{1}中分配超过{0},
Get Payments from,得到支付,
Partially Paid,部分支付,
Item Code > Item Group > Brand,项目编号>项目组>品牌,
Customer > Customer Group > Territory,客户>客户群>区域,
Supplier > Supplier Type,供应商类型,
Rate or Discount is required for the price discount.,价格折扣需要折扣率或折扣。,
"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b> will be applied on the item.",如果你{0}{1}项目数量{2}，该项目将采用方案{3}。,
"If you {0} {1} worth item <b>{2}</b>, the scheme <b>{3}</b> will be applied on the item. ",如果你{0}{1}值的项目{2}，方案{3}将会应用于该项目。,
Free item not set in the pricing rule {0},免费项目没有设置在价格规则{0},
"Sorry, this coupon code's validity has not started",对不起，此优惠码的有效期尚未开始,
"Sorry, this coupon code's validity has expired",对不起，此优惠码已过期,
"Sorry, this coupon code is no longer valid",对不起，此优惠码已不再有效,
Please ensure {} account is a Balance Sheet account. \ You can change the parent account to a Balance Sheet account or select a different account.,请确保{}账户是资产负债表账户。\您可以将父账户更改为资产负债表账户或选择不同的账户。,
Invalid Account,无效的账户,
Please ensure {} account is a Payable account. \ Change the account type to Payable or select a different account.,请确保{}账户是应付账户。\将帐户类型更改为应付帐户或选择不同的帐户。,
Purchase Order Required for item {0} To submit the invoice without purchase order please set {1} as {2} in {3},项目{0}需要采购订单才能提交没有采购订单的发票请在{3}中设置{1}为{2},
Purchase Receipt Required for item {0} To submit the invoice without purchase receipt please set {1} as {2} in {3},项目{0}需要购买收据要提交没有购买收据的发票，请在{3}中设置{1}为{2},
Update Stock' cannot be checked for fixed asset sale,更新库存'不能被检查为固定资产出售,
Account Missing,账户丢失,
Please ensure {} account is a Receivable account. \ Change the account type to Receivable or select a different account.,请确保{}是应收账款\将账户类型更改为应收或选择不同的账户。,
Shipping rule not applicable for country {0} in Shipping Address,装运规则不适用于{0}国家的装运地址,
Stock Value ({0}) and Account Balance ({1}) are out of sync for account {2} and it's linked warehouses.,帐户{2}的股票价值({0})和帐户余额({1})不同步，并且它是链接仓库。,
Please create adjustment Journal Entry for amount {0} ,请创建金额{0}的调整分录,
Values Out Of Sync,值不同步,
Make Journal Entry,做分录,
{0} {1} is disabled,{0}{1}被禁用,
Group By Supplier,集团的供应商,
Total',总”,
Printed On ,印在,
Group By Customer,集团客户,
Dimension Filter,维滤波器,
Actual ,实际,
Variance ,方差,
% Of Grand Total,占总金额的%,
Tax Total,税收总,
{0} Number {1} is already used in {2} {3},{0}编号{1}已经在{2}中使用了,
Please select Item Code first,请先选择项目代码,
Company of asset {0} and purchase document {1} doesn't matches.,资产{0}公司与购买凭证{1}不匹配。,
Purchase Invoice cannot be made against an existing asset {0},购买发票不能针对现有资产{0},
Gross Purchase Amount should be {} to purchase amount of one single Asset. {}\ Please do not book expense of multiple assets against one single Asset.,总采购金额为{}，为单项资产的采购金额。{}\不要将多个资产的费用记入单一资产。,
Invalid Gross Purchase Amount,无效购货总额,
Asset has multiple Asset Movement Entries which has to be \ cancelled manually to cancel this asset.,资产有多个资产移动条目，必须手动取消这些条目才能取消该资产。,
Set {0} in company {1},在公司{1}中设置{0},
Atleast one asset has to be selected.,至少要选择一个资产。,
Row #{}: Currency of {} - {} doesn't matches company currency.,行#{}:{}的货币不匹配公司货币。,
Row #{}: {} of {} should be {}. Please modify the account or select a different account.,行#{}:{}的{}应该是{}。请修改帐户或选择不同的帐户。,
Row #{}: Please asign task to a member.,行#{}:请将任务指定为成员。,
Asset {0} does not belongs to the location {1},资产{0}不属于位置{1},
Issuing cannot be done to a location. \ Please enter employee who has issued Asset {0},不能对某个位置发出命令。\请输入已发行资产{0}的员工,
Employee is required while issuing Asset {0},在发行资产{0}时需要雇员,
Transferring cannot be done to an Employee. \ Please enter location where Asset {0} has to be transferred,不能对员工进行调动。\请输入资产{0}必须转移的位置,
Target Location is required while transferring Asset {0},在传输资产{0}时需要目标位置,
Target Location or To Employee is required while receiving Asset {0},接收资产{0}时需要目标位置或员工,
From employee is required while receiving Asset {0} to a target location,从employee接收资产{0}到目标位置时需要,
Target Location is required while receiving Asset {0} from an employee,从员工那里接收资产{0}时需要目标位置,
Asset {0} cannot be received at a location and \ given to employee in a single movement,资产{0}不能在某个位置接收，并在一次移动中交给员工,
Asset {0} does not belongs to the custodian {1},资产{0}不属于托管人{1},
Employee {0} does not belongs to the company {1},员工{0}不属于公司{1},
{0} will be cancelled automatically on asset cancellation as it was \ auto generated for Asset {1},{0}将在资产取消时自动取消，因为它是\为资产{1}自动生成的,
Asset Value Adjustment cannot be posted before Asset's purchase date <b>{0}</b>.,资产价值调整不能在资产购买日{0}之前过帐。,
Asset Value,资产价值,
Depreciated Amount,折旧金额,
"{0} indicates that {1} will not provide a quotation, but all items \ have been quoted. Updating the RFQ quote status.",{0}表示{1}将不提供报价，但所有项目\都已报价。更新RFQ报价状态。,
Import Italian Supplier Invoice.,进口意大利供应商发票。,
Helps you manage appointments with your leads,帮助您管理预约与您的领导,
Define coupon codes.,定义优惠码。,
Row #{0}: Service Start and End Date is required for deferred accounting,行#{0}:递延会计需要服务开始和结束日期,
Row #{0}: Service Start Date cannot be greater than Service End Date,行#{0}:服务开始日期不能大于服务结束日期,
Row #{0}: Service End Date cannot be before Invoice Posting Date,行#{0}:服务结束日期不能在发票邮寄日期之前,
Row {0}: user has not applied the rule {1} on the item {2},行{0}:用户没有对项目{2}应用规则{1},
Row {0}: Due Date in the Payment Terms table cannot be before Posting Date,行{0}:付款条件表中的到期日期不能在过账日期之前,
Cannot find {} for item {}. Please set the same in Item Master or Stock Settings.,找不到项目{}的{}。请在项目主或库存设置中设置相同的设置。,
Row #{0}: Cannot delete item {1} which has already been delivered,行#{0}:不能删除已经交付的项目{1},
Row #{0}: Cannot delete item {1} which has work order assigned to it.,行#{0}:不能删除分配了工作订单的项目{1}。,
Row #{0}: Cannot delete item {1} which is assigned to customer's purchase order.,行#{0}:不能删除分配给客户采购订单的项目{1}。,
Row #{0}: Cannot delete item {1} which has already been received,行#{0}:不能删除已经收到的项目{1},
Row #{0}: Cannot delete item {1} which has already been billed.,行#{0}:不能删除已经结账的项目{1}。,
You do not have permissions to {} items in a Sales Order.,您对销售订单中的{}项没有权限。,
Insufficient Permissions,权限不足,
{} has submitted assets linked to it. You need to cancel the assets to create purchase return.,{}已提交链接到它的资产。您需要取消资产以创建购买回报。,
{} Assets created for {},{}为{}创建的资产,
Asset{} {assets_link} created for {},为{}创建的资产{}{assets_link},
Row {}: Asset Naming Series is mandatory for the auto creation for item {},Row{}:为项目{}自动创建资产命名系列是必需的,
Assets not created for {0}. You will have to create asset manually.,未为{0}创建的资产。您必须手动创建资产。,
Cannot cancel this document as it is linked with submitted asset {0}.\ Please cancel the it to continue.,无法取消此文档，因为它已链接到已提交的资产{0}。\请取消it以继续。,
{0} is not a valid Value for Attribute {1} of Item {2}.,{0}不是项目{2}的属性{1}的有效值。,
Invalid Value,无效的值,
The value {0} is already assigned to an existing Item {1}.,值{0}已经分配给现有的项目{1}。,
"To still proceed with editing this Attribute Value, enable {0} in Item Variant Settings.",要继续编辑此属性值，请在项变量设置中启用{0}。,
Edit Not Allowed,不允许编辑,
Update Stock' can not be checked because items are not delivered via {0},无法检查更新库存，因为项目没有通过{0}交付,
Row #{}: Selling rate for item {} is lower than its {}. Selling rate should be atleast {},行#{}:项目{}的销售率低于其{}。售价至少为{},
Row {0}: Delivery Warehouse ({1}) and Customer Warehouse ({2}) can not be same,行{0}:配送仓库({1})和客户仓库({2})不能相同,
Row #{0}: Serial No {1} does not belong to Batch {2},行#{0}:序号没有{1}不属于批{2},
"Warehouse {0} is not linked to any account, please mention the account in the warehouse record or set default inventory account in company {1}.",仓库{0}是没有连接到任何账户的，请提到仓库记录中的账户或者在公司{1}中设置默认的库存账户。,
Row #{0}: Expense Account not set for Item {1}. Please set an Expense \ Account in the Items table,行#{0}:项目{1}没有设置费用账户。请在项目表中列一个费用帐,
Expense Account Missing,费用帐户丢失,
Row {0}: Invalid Item Tax Template for item {1},行{0}:项目{1}的项目税收模板无效,
Based On' and 'Group By' can not be same,基于'和'Group By'不可能是相同的,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},对于{0}，>不能晚于到,
The difference between from time and To Time must be a multiple of Appointment,“不时”和“不时”之间的区别必须是多重约见,
Please setup Instructor Naming System in Education > Education Settings,请在教育>教育设置中设置教师命名系统,
Do you want to update attendance?<br>Present: {0}\ <br>Absent: {1},你想更新考勤吗? 现在: {0} 缺席:{1},
woocommerce - {0},woocommerce - {0},
Stores - {0},商店——{0},
Please set Warehouse in Woocommerce Settings,请将仓库设置在Woocommerce设置中,
Bank transaction creation error,创建银行交易错误,
An error has occurred during {0}. Check {1} for more details,在{0}期间发生错误。查看{1}获得更多细节,
Tally Migration Error,数据迁移错误,
Company {0} already exists. Continuing will overwrite the Company and Chart of Accounts,{0}公司已经存在。继续将覆盖公司和帐目表,
Meta Data,元数据,
Unresolve,无法解析,
Create Document,创建文档,
Mark as unresolved,标记为未解决的,
Error occured while parsing Chart of Accounts: Please make sure that no two accounts have the same name,解析帐户图表时出错:请确保没有两个帐户有相同的名称,
Process Failed,过程失败,
Not permitted. Please disable the Lab Test Template,不允许的。请禁用实验室测试模板,
Lab Test Item {0} already exist,实验室测试项目{0}已经存在,
No Prescribed Procedures found for the selected Patient,对选定的病人未发现规定的程序,
Appointment overlaps with {0}.<br> {1} has appointment scheduled with {2} at {3} having {4} minute(s) duration.,任命与{0}重叠。{1}与{2}在{3}预约，预约时间为{4}分钟。,
Appointment Confirmation Message Not Sent,没有发送约会确认信息,
Appointment Booking,预约预订,
Please setup Employee Naming System in Human Resource > HR Settings,请在人力资源> HR设置中设置员工命名系统,
Return amount cannot be greater unclaimed amount,退还金额不能大于无人认领金额,
"An amount of {0} already claimed for the component {1},\ set the amount equal or greater than {2}",已经为组件{1}申请的{0}的数量，\设置该数量等于或大于{2},
"You can claim only an amount of {0}, the rest amount {1} should be in the application \ as pro-rata component",您只能申领一部分{0}，其余部分{1}应按比例出现在申请表中\,
Please add the remaining benefits {0} to the application as \ pro-rata component,请将剩余福利{0}按比例添加到应用程序中,
Maximum benefit of employee {0} exceeds {1} by the sum {2} of previous claimed\ amount,雇员{0}的最大利益超过先前申索款额的{2}总和,
Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\ amount and previous claimed amount,雇员{0}的最高权益超过{1}，其比例为福利申请{2}金额与先前申索金额之比,
employee_field_value' and 'timestamp' are required.,employee_field_value'和'timestamp'是必需的。,
Please delete the Employee <a href='#Form/Employee/{0}'>{0}</a>\ to cancel this document,请删除员工{0}\以取消此文档,
Job Openings for designation {0} already open \ or hiring completed as per Staffing Plan {1},根据员工计划{1}，已开始招聘或已完成招聘的职位,
Expired Leaves,过期的叶子,
No Leaves Allocated to Employee: {0} for Leave Type: {1},员工无请假:{0}请假类型:{1},
Payment Account is mandatory,付款帐户是强制性的,
Income Tax Slab not set in Salary Structure Assignment: {0},工资结构分配中没有设置所得税板:{0},
Income Tax Slab: {0} is disabled,所得税板:{0}被禁用,
Income Tax Slab must be effective on or before Payroll Period Start Date: {0},所得税板必须在工资期开始日期{0}或之前生效,
Income Tax Slab,所得税板,
Row #{0}: Cannot set amount or formula for Salary Component {1} with Variable Based On Taxable Salary,不能为基于应纳税工资的变量的工资成分{1}设置金额或公式,
There's no Employee with Salary Structure: {0}. \ Assign {1} to an Employee to preview Salary Slip,没有员工的工资结构是{0}。\将{1}分配给员工以预览工资条,
You can only plan for upto {0} vacancies and budget {1} \ for {2} as per staffing plan {3} for parent company {4}.,您只能根据母公司{4}的员工计划计划至多{0}职位空缺和{1}预算。,
{0} vacancies and {1} budget for {2} already planned for subsidiary companies of {3}. \ You can only plan for upto {4} vacancies and and budget {5} as per staffing plan {6} for parent company {3}.,已经为{3}子公司计划了{2}职位空缺和{1}预算。\您只能根据母公司{3}的员工计划计划至多{4}职位空缺和预算{5}。,
Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \ Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies,子公司已经按照{2}的预算计划了bb0职位空缺。\{0}的人员配备计划应该为{3}分配比其子公司更多的职位空缺和预算,
To Date should be greater than From Date,To Date应该大于From Date,
Please setup numbering series for Attendance via Setup > Numbering Series,请通过安装程序>设置出席的编号系列,
Current Odometer Value should be greater than Last Odometer Value {0},当前里程表值应大于上次里程表值{0},
No additional expenses has been added,没有增加额外费用,
From Date should be less than To Date,从日期应该少于到日期,
New Allocation,新分配,
{0} already exists for employee {1} and period {2},雇员{1}和时期{2}已经存在,
"Row {0}: To set {1} periodicity, difference between from and to date \ must be greater than or equal to {2}",行{0}:为了设置{1}周期性，from和To date之间的差\必须大于或等于{2},
Please select a Sales Person for item: {0},请为项目:{0}选择一个销售人员,
Non stock items,非股票项目,
Operating Cost as per Work Order / BOM,根据工单/ BOM计算运营成本,
BOM 1 {0} and BOM 2 {1} should not be same,BOM 1{0}和BOM 2{1}应该不一样,
BOM recursion: {0} cannot be child of {1},BOM递归:{0}不能是{1}的子元素,
Completed Quantity,完成的数量,
Time logs are required for {0} {1},{0}{1}需要时间日志,
The {0} ({1}) must be equal to {2} ({3}),{0}({1})一定等于{2}({3}),
Item {0}: {1} qty produced. ,项目{0}:{1}生产数量。,
UOM Conversion factor ({0} -> {1}) not found for item: {2},未找到UOM转换因子({0}-> {1},
"As raw materials projected quantity is more than required quantity, there is no need to create material request. Still if you want to make material request, kindly enable <b>Ignore Existing Projected Quantity</b> checkbox",由于原材料预计数量大于所需数量，不需要创建物料需求。如果你想要申请材料，请启用忽略现有预计数量复选框,
Quantity to Manufacture,量生产,
{0} Operations: {1},{0}操作:{1},
Quantity to Manufacture can not be zero for the operation {0},对于操作{0}，生产数量不能为零,
For operation {0}: Quantity ({1}) can not be greter than pending quantity({2}),对于{0}操作:数量({1})不能大于待定数量({2}),
BOM Qty,BOM数量,
Duplicate Project with Tasks,带有任务的重复项目,
Duplicate project has been created,已创建重复项目,
Use a name that is different from previous project name,使用不同于以前项目名称的名称,
{0} can not be greater than {1},{0}不能大于{1},
Cannot complete task {0} as its dependant tasks {1} are not completed / cancelled.,不能完成任务{0}，因为它的依赖任务{1}没有完成/取消。,
Task's {0} Start Date cannot be after Project's End Date.,任务的{0}开始日期不能在项目结束日期之后。,
Task's {0} End Date cannot be after Project's End Date.,任务的{0}结束日期不能在项目结束日期之后。,
Manufacturer Part Number <b>{0}</b> is invalid,制造商部件号{0}无效,
Invalid Part Number,无效的零件号,
Please enter Item Code to get item taxes,请输入项目代码以获得项目税金,
Auto Fetch,自动获取,
Fetch Serial Numbers based on FIFO,获取序列号基于FIFO,
Update Taxes for Items,更新物品税,
Item taxes updated,项税更新,
"Outward taxable supplies(other than zero rated, nil rated and exempted)",出口应税物料(零税、零税及豁免除外),
"Of the supplies shown in 3.1 (a) above, details of inter-State supplies made to unregisterd persons, composition taxable persons and UIN holders",在上述3.1 (a)项所示的供应中，提供给未登记人士、应课税人士和未登记持有人的国家间供应的详情,
Please set default UOM in Stock Settings,请在库存设置中设置默认UOM,
Processing XML Files,处理XML文件,
XML Files Processed,XML文件处理,
Numero has not set in the XML file,数字在XML文件中没有设置,
Country Code in File does not match with country code set up in the system,文件中的国家代码与系统中设置的国家代码不匹配,
Valid Upto date cannot be before Valid From date,有效的更新日期不能在有效日期之前,
Valid From date not in Fiscal Year {0},自日期起生效，而不是在会计年度{0},
Valid Upto date not in Fiscal Year {0},截止日期有效，不在会计年度{0},
